name,ingredients,instructions,cuisine,course,diet,region,tier,total_time_mins,servings,url
Nutty Aloo Paratha Recipe,"1 cup Whole Wheat Flour,1 cup Spinach Leaves (Palak) - pureed,Water - as required to make pliable dough,3 Potatoes (Aloo) - boiled and mashed,1/2 cup Paneer (Homemade Cottage Cheese) - crumbled/grated,1 tablespoon Coriander (Dhania) Leaves,1/2 teaspoon Garam masala powder,Salt - to taste,1/2 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder - or 2 chopped green chillies,1-1/2 tablespoon Mixed nuts - chopped,1 tablespoon Raisins,Ghee - to smear","To begin making Nutty Aloo Paratha Recipe,first knead the dough and keep it aside.In a Mixing bowl, bring together wheat flour, water, and spinach puree (if using) to a soft pliable dough by kneading well. Few drops of ghee or oil can be added if required.To make the fillingIn a large mixing bowl add the mashed potatoes or aloo, and all the other ingredients, crumbled paneer, coriander, garam masala, salt, jeera powder, red chilli powder/green chillies, chopped nuts, and raisins and mix them till they are well combined.Divide the nutty aloo filling into 8 to 10 equal portions. This process of dividing and keeping the portions of aloo paratha dough and filling ready, helps you gauge the number of parathas you can make and if you need more or less of the filling.The final step is to stuff the filling into the dough to make Nutty Aloo Paratha.Roll the dough into a small circle, place the filling inside and close the dough from all sides.Dust the filled aloo paratha dough in some flour and roll this stuffed nutty dough into a paratha, taking care not to let the stuffing ooze out.preheat a roti tawa and place the filled nutty aloo paratha. Allow it to cook on medium heat for about 30 to 45 seconds and flip over.Add this stage add a teaspoon of ghee or oil and spread it around. Flip again, so the oiled side can cook on the skillet. Spread a little more ghee and keep pressing the parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly. Make sure you cook on medium heat as it allows the nutty aloo parathas to get a crisp on the outside and yet soft texture.Once the aloo paratha is cooked transfer to a plate. Continue to the same process with the remaining parathas the same way.Serve Nutty Aloo Paratha Recipe with Rawal Pindi Style Chole and some Kachumber Salad Recipe With Cucumber, Onion & Tomatoes for weekend brunch. Add Quick Strawberry Yogurt Smoothie to complete the meal.",North Indian Recipes,North Indian Breakfast,Vegetarian,Punjabi,1,55,4,http://www.archanaskitchen.com/nutty-aloo-paratha-recipe
Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,"1 cup Raw Peanuts (Moongphali),2 tablespoons Gram flour (besan),1 tablespoon Rice flour,1/2 teaspoon Red Chilli powder,1/2 Coriander Powder (Dhania),2 pinch Chaat Masala Powder,1/4 cup Water,2 pinch Black pepper powder,1 teaspoon Sunflower Oil,Salt - to taste,Sunflower Oil - to fry","To begin making the Crispy Masala Peanuts recipe, First we need to take a big bowl, mix together peanuts, gram flour, rice flour, red chilly powder, coriander powder, chat masala, water, black pepper powder, oil and salt to tasteMix all nicely using little water.Remember add less water and making sure the spices and flour stick to the peanuts uniformly.Heat the oil in a kadai/wok on medium heat. Fry the peanuts until they turn golden brown.When they are done, take them out from the oil and place them on a absorbent paper.At this time these are not much crispy but after cooling to room temperature, the peanuts should be crispy.Now Crispy Masala Peanuts are ready, sprinkle some chat masala with dry mint and serve.Serve Crispy Masala Peanuts along with Masala Chai during your tea time break. You can also serve it as a snack with your drinks for house parties.",Gujarati Recipes,Snack,High Protein Vegetarian,Gujarati,1,35,3,http://www.archanaskitchen.com/crispy-masala-peanuts-recipe-gujarati-sing-bhujia
Maa Ki Dal (Recipe),"1 cup black urad dal (split), 1 tablespoon kidney beans, 4 tomatoes - chopped, 1 inch ginger - grated, 1 tablespoon ghee, 1 teaspoon cumin seeds, 1 teaspoon Kashmiri red chilli powder, 1 tablespoon coriander powder , 1/2 teaspoon garam masala powder, salt - as per taste","To make Maa Dal, first wash and soak the lentils and beans for 2-3 hours in water. Now heat 5 cups of water in a pan. Add dal and rajma to it and let it cook till it becomes soft. Allow to cook for 2 to 3 hours, which increases its taste even more. Then add tomatoes and ginger to it. Mash it a little bit. Now heat ghee in a tempering pan. Add cumin seeds and cook till it turns brown. Now add all the dry spices and cook for 1 minute. Add this tempering to the dal and let it boil. Cook for 10 to 15 minutes and serve hot. Serve Maa Dal with Lacha Paratha and Sew Tomato Vegetable for dinner.",Punjabi,Dinner,High Protein Vegetarian,Punjabi,1,160,4,http://www.archanaskitchen.com/maa-ki-dal-recipe-in-hindi
Chole Masala Recipe - Dry Masala Chickpeas (Recipe),"1 cup Kabuli Channa - Soak it overnight and then boil it, oil - as per use, 1 teaspoon cumin seeds, 1/4 teaspoon ginger-paste, 2 teaspoons chana masala powder, 2 teaspoons red chilli powder, 1/4 teaspoon Spoon cumin powder, 2 teaspoon Amchoor powder, 1/4 teaspoon turmeric powder, 1 tablespoon Coriander powder, salt - as per taste","To make Chole Masala, first of all, cook Kabuli Chana in a pressure cooker till 3 years. Take water out of it and keep it aside. Now heat oil in a pan and add cumin seeds. After 10 seconds, add ginger to it and cook for 30 seconds. Now add chola masala, red chilli powder, mango powder, turmeric powder, coriander powder, cumin powder and salt. Cook for 1 to 2 minutes and then add the cooked gram. Mix well and cook for another minute. Turn off the gas and garnish with green coriander. Serve Chole Masala with Puri and Tomato Onion Cucumber Raita.",Punjabi,Lunch,High Protein Vegetarian,Punjabi,1,40,2,https://www.archanaskitchen.com/dry-masala-chickpeas-recipe-in-hindi
Baingan Sarson Ka Saag Recipe,"300 grams Small Brinjal (Baingan / Eggplant) - quartered,200 grams Mustard greens,1 Onion - sliced,4 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),Salt - to taste,3 tablespoons Mustard oil - for cooking","To begin making Baingan Sarson Ka Saag Recipe first prep all the ingredients and keep aside. Quarter the brinjal and keep them in salted water till you use them. Keeping them in salted water prevents discolouration of the brinjal.Wash and chop the mustard greens ( sarson ka saag) roughly and keep them aside. Next heat oil in a deep pan or wok and once the oil has reached a smoking point reduce the heat to medium. Add cumin seeds and let them crackle. Then add onions, ginger and garlic and saute till the onions are cooked.Now add the drained and cut brinjal slices to the pan and saute. Sprinkle some water, cover and cook the brinjal till its cooked through and is well roasted.This will take about 4 to 5 minutes.Once the brinjal is well roasted, softened and cooked through, add all the dry spices to the pan, chilli powder, turmeric powder, coriander powder, garam masala powder, amchur powder, salt and saute for a minute till all the brinjal is well coated with the masalas. Finally add the chopped mustard leaves to the brinjals and cover and cook till the mustard greens are cooked through. This will take about 3 to 4 minutes as well.Check the salt and seasonings of the Baingan Sarson Ka Saag and adjust according to taste.Once done, turn off the heat and transfer the Baingan Sarson Ka Saag to a serving bowl and serve hot.Serve Baingan Sarson Ka Saag with Phulka , Panchmel Dal and Lauki Raita for a lovely weekday lunch.",North Indian Recipes,Lunch,Diabetic Friendly,Punjabi,1,25,4,https://www.archanaskitchen.com/baingan-sarson-ka-saag-recipe
Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,"300 grams Brinjal - chopped, 200 grams mustard, 1 onion - thin and straight cut, 4 cloves garlic - finely chopped, 1 inch ginger - finely chopped, 1/2 tsp cumin, 1 tsp red chili powder, 1 tsp coriander powder, 1 tsp garam masala powder, 1 tsp mango powder, salt - as per taste, 3 tbsp mustard oil - as per use","To make the brinjal mustard greens recipe, prepare all the ingredients first and keep them separately. Cut the eggplant and keep it in salt water. Wash the mustard thoroughly and cut it and keep it separately. Now heat oil in a pan. When the oil is very hot, add cumin seeds and let it splutter. After the cumin seeds crackle, add onion, ginger, garlic and cook till the onion becomes soft. After the onion becomes soft, add eggplant to it and cook it well. Add water, cover the pan and cook it till the eggplant is cooked. It will take 4 to 5 minutes. Now add red chili powder, turmeric powder, coriander powder, garam masala powder, mango powder, salt and cook it for 2 minutes. Now add mustard leaves and cook for 3 to 4 minutes. Turn off the gas after cooking and serve. Serve the Brinjal Mustard Saag Recipe along with Dal Tadka, Gourd Raita and Phulka for dinner.",North Indian Recipes,Lunch,Diabetic Friendly,Punjabi,1,25,4,http://www.archanaskitchen.com/baingan-sarson-ka-saag-recipe-in-hindi
Wheat Millet Thepla Recipe - Bajra Masala Paratha,"1 cup Bajra Flour ( Pearl Millet),1/2 cup Whole Wheat Flour,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Black pepper powder,1 inch Ginger - grated,1 Green Chilli - finely chopped,4 sprig Coriander (Dhania) Leaves - finely chopped,Sunflower Oil - as required","To begin making the Gehu Bajra Thepla Recipe, combine the bajra flour, whole wheat flour, turmeric powder, black pepper powder, ginger, green chilli, and coriander leaves, in a large mixing bowl. Add little water at a time and knead to make a smooth and firm dough. Drizzle some oil on the top and knead for a few more minutes until smooth. Cover the thepla dough and allow it to rest for half an hour.Preheat the iron skillet on medium heat. Divide the dough into 6 to 8 portions.Roll the thepla portions into balls; flatten them with the palm of your hand. Toss the thepla dough on flour and roll them out into thin circles to approximately 6 inches in diameter.As you roll them out, you can keep tossing the dough in dry flour to prevent sticking when rolling them out.Continue the same process of rolling the thepla dough out with the remaining balls. It is ideal when you can roll out the all portions of dough before you can start cooking them. Method of Cooking the Gehu Bajra TheplaWith skillet on high heat, place the rolled out Gehu Bajra thepla on the skillet. After a few seconds you will notice small air pockets popping out.At this point flip the Gehu Bajra thepla and smear about half a teaspoon of oil and using a flat spatula and do a light pressing and turning motion to cook to the thepla.Flip to the other side and press and turn in a similar way. You will notice brown spots around the cooked Gehu Bajra thepla. Remove from heat and place the thepla on a flat plate. Continue the similar process with the remaining rolled out portions and stack the cooked Gehu Bajra thepla one above the other. Stacking them maintains softness and prevents the thepla’s from drying out, preserving moisture.Serve the Gehu Bajra Thepla with Bangain Bharta and Jaggery for dinner.",Gujarati Recipes,Main Course,Diabetic Friendly,Gujarati,1,45,4,https://www.archanaskitchen.com/gehun-bhajra-thepla-recipe-spiced-wheat-millet-flat-bread
Palak Paneer Bhurji Recipe - Palak Paneer Bhurji Recipe,"200 grams cheese - pinch, 50 grams spinach - finely chopped, 2 green chillies - finely chopped, 1 onion - finely chopped, 1 tomato - finely chopped, 2 cloves garlic - finely chopped, 1/2 small Teaspoon cumin, 2 tsp red chilli powder, 2 tsp garam masala powder, 2 tsp mango powder, 1 tbsp butter, salt - as per taste, oil - as per use","To make the Palak Paneer Bhurji recipe, firstly make paneer. You can also buy cheese from outside. Steal the cheese and keep it aside. Now heat oil in a pan. Add cumin seeds and let it crackle. After the cumin seeds crackle, add ginger, garlic, green chillies, onions and cook them till the onions turn light brown. Now add tomatoes and cook till they become soft. Add the spinach and cook until the spinach is cooked. Now add red chili powder, garam masala powder, mango powder, paneer and mix well. Add the butter and cook for 3 to 4 minutes. After cooking, turn off the gas and serve hot. Serve the spinach paneer bhurji with dal makhni, boondi raita and phulka for dinner.",North Indian Recipes,Vegetarian,Vegetarian,Punjabi,1,45,4,https://www.archanaskitchen.com/palak-paneer-bhurji-recipe-spiced-cottage-cheese-scramble-with-spinach-recipe-in-hindi
Spicy Paneer Bhurji Pav Sandwich Recipe - Breakfast Recipe,"1 tablespoon Sunflower Oil,1 teaspoon Ginger - grated,1 Green Chilli - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Red Chilli powder,2 cups Paneer (Homemade Cottage Cheese) - crumpled,1 tablespoon Coriander (Dhania) Leaves - chopped,Salt - to taste,4 Pav buns - roasted in butter","To begin making the Spicy Paneer Bhurji Pav Sandwich, we'll begin by making paneer bhurji.Place a pan on the heat and warm the oil in it. To it, add ginger and green chilies and saute for a minute or two. Then add the chopped onions and continue to saute until translucent.Followed by chopped tomatoes, turmeric powder and red chilli powder - add them all into the pan and continue to cook, stirring continuously until the tomatoes are softened.Continue to cook till some moisture dries out and the masalas begin to leave the sides of the pan.At this stage, add the crumbled paneer, season with required salt and mix well.Cook the prepared bhurji on a medium heat for another minute or two. Sprinkle chopped coriander, turn off the heat and set the bhurji aside till later use.Apply butter on the pav buns, place them on a preheated pan and toast them on medium heat until browned and crisp.The next step is to assemble the Pav Sandwiches. To do this, Slice each pav into half and lay them flat on a work surface. Scoop a spoonful of paneer bhurji and serve hot. Serve the Spicy Paneer Bhurji Pav Sandwich Recipe along with Calcutta Style Puchkas and a hot cup of Masala Chai for a chaat party.",North Indian Recipes,Dinner,High Protein Vegetarian,Punjabi,1,35,4,http://www.archanaskitchen.com/spicy-paneer-bhurji-pav-sandwich-recipe-spiced-cottage-cheese-bun-sandwich
Gujarati Methi Na Dhebra Recipe,"1/2 cup Bajra Flour ( Pearl Millet),1/2 cup Jowar Flour (Sorghum),1/2 cup Whole Wheat Flour - More for dusting,2 cups Methi Leaves (Fenugreek Leaves) - finely chopped,2 inch Ginger - ground to paste,3 Green Chillies - finely chopped,1 tablespoon Sesame seeds (Til seeds),2 teaspoons Red Chilli powder,2 teaspoons Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),5 tablespoons Curd (Dahi / Yogurt),1 teaspoon Sugar - (optional),Salt - to taste,1 tablespoon Sunflower Oil","To prepare Gujarati Methi Na Dhebra Recipe, get all the ingredients ready.In a large bowl, mix fenugreek leaves, ginger paste, green chilies, sesame seeds, chili powder, turmeric powder, asafoetida. Mix it well with a teaspoon of oil. Keep aside for 5 minutes to help fenugreek leaves soften a bit.Add millet flour, whole wheat flour, sugar and salt.Mix well using your finger so fenugreek mixture will incorporate well with flours. It will look crumbly texture.Add tablespoon yogurt at a time and knead to form soft dough. You will need 5 or 6 tablespoon of yogurt depends on your flour or depends on the consistency of your yogurt . So add little yogurt at a time so will come to know how much you need. Cover it and let it stand for 10-15 minutes.After 15 minutes, knead it again to make it smooth.Divide it into 10 equal portions. Roll each portion between your palm and press into a circle.Heat the tawa on medium heat.Dip the flattened ball into dry chapati flour and coat well. Roll it gently in to circle about 6 inch in diameter.Once hot placed rolled dhebra on the skillet. When you see bubbles on it flip it. After few seconds apply some oil on it and flip it again and press gently using spatula and cook until you see some brown spot on bottom side.Apply some oil again (optional) on other side and flip and cook on that side.When done, take it out from skillet/tawa proceed similarly till all the dough is used up.Serve Gujarati Methi Na Dhebra recipe dabbed with homemade ghee along with a cup of pounded jaggery, Naranga Achaar, yogurt and Sev Tamatar Ki Sabzi",Gujarati Recipes,Snack,Diabetic Friendly,Gujarati,1,30,2,http://www.archanaskitchen.com/gujarati-methi-na-dhebra-recipe
Paka Kela Ki Sabzi Recipe | Paka Kela nu Shaak | Gujarati Jain Recipe,"3 cups Ripe Bananas - cubed,1/4 cup Gram flour (besan),1/4 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/4 teaspoon Cumin seeds (Jeera),1/4 teaspoon Mustard seeds,1 sprig Curry leaves - finely chopped,2 teaspoons Sunflower Oil,Salt - to taste","To begin making the Paka Kela Nu Shaak; prepare all the ingredients and keep them ready.Heat oil in a pan on medium high; add the mustard seeds, cumin seeds and curry leaves and allow it to crackle.Add the asafoetida, turmeric powder, red chilli powder and give it a stir.Stir in the banana and the besan into the above seasoning and stir gently until the gram flour and condiments gets well coated around the ripe banana, for about 3 to 4 minutes. Turn off heat and transfer to a serving dish.Serve Paka Kela Ki Sabzi along with of Phulka, Gujarati Dal and a bowl of dahi. Note: The Paka Kela Ki Sabzi has to be prepared just a few minutes before you are ready to serve your meal. When it stays for a longer time, the bananas tend to lose their texture and the dish can get too soggy.",Gujarati Recipes,Dinner,Vegetarian,Gujarati,1,30,4,http://www.archanaskitchen.com/paka-kela-ki-sabzi-gujarati-jain-recipe
No Onion No Garlic Lobia Masala Recipe In Electric Pressure Cooker,"1 cup Black Eyed Beans (Lobia) - soaked for two hours,1 inch Ginger - finely chopped,2 Green Chillies,2 sprig Curry leaves,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 tablespoon Gram flour (besan),1 tablespoon Tamarind Paste,1 teaspoon Jaggery,Salt - to taste","To begin making the No Onion No Garlic Lobia Masala Recipe, wash lobia and soak in water for about 2 hours.Heat oil in saute mode of the electric pressure cooker over medium heat; add the cumin seeds, ginger, green chillies and fry for few seconds. Then add besan and roast it for two minutes stirring continuously. Add half cup of water and make a smooth paste.Next add the turmeric powder, coriander powder, red chilli powder, jaggery, salt, tamarind paste and the soaked beans with 2 cups of water.Stir to combine and cover the pressure cooker.Change the mode of the electric pressure cooker to dal mode and just let the pressure cooker to its job.If you are cooking in a regular pressure cooker, pressure cook Jain Style lobia curry for 4 to 5 whistles on medium heat and turn off the heat. Open the pressure cooker after the pressure releases on its own. Adjust the consistency of the dish according to your taste, by adding more or less water. Once done, check the taste and adjust the salt and seasonings accordingly.Serve No Onion No Garlic Lobia Masala along with a Jain meal made up of Paka Kela Ki Sabzi, Masala Jowar Methi Roti and Beetroot Carrot Raita for a weeknight dinner or a sunday lunch.",Gujarati Recipes,Dinner,No Onion No Garlic (Sattvic),Gujarati,1,30,4,https://www.archanaskitchen.com/no-onion-no-garlic-lobia-masala-recipe-in-electric-pressure-cooker
Potato Stuffed Dal Dhokli Recipe,"1 cup Whole Wheat Flour,Salt - to taste,1 tablespoon Sunflower Oil,Whole Wheat Flour - for rolling,3 Potato (Aloo) - boiled and mashed,1 tablespoon Red Chilli powder,1/2 tablespoon Garam masala powder,2 tablespoon Coriander (Dhania) Leaves - chopped,1 tablespoon Sugar - optional,1/2 tablespoon Lemon juice,1 cup Arhar dal (Split Toor Dal) - boiled and ground,1/4 tablespoon Turmeric powder (Haldi),1/3 cup Raw Peanuts (Moongphali) - boiled,Salt - to taste,1 Tomato - finely chopped,1 Green Chilli - finely chopped,1 inch Ginger - grated,1/2 tablespoon Lemon juice,3 tablespoon Jaggery - chopped,1 tablespoon Sunflower Oil,1/2 tablespoon Mustard seeds,1/2 tablespoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),10 Curry leaves,2 Dry Red Chillies,1 Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Bay leaf (tej patta),4 tablespoon Coriander (Dhania) Leaves - chopped","To prepare Potato Stuffed Dal Dhokli Recipe, get prep with all the ingredients mentioned and proceed with making the dumplings. Start with sieving the flour with salt and knead into a semi-stiff dough with enough water.Cover the dough with a lid and keep aside for 10-15 minutes. Meanwhile prepare filling for dumplings. Take boiled and mashed potato in one bowl, add salt to taste, chilli powder, turmeric powder, chopped coriander, Garam masala, lemon juice and sugar(optional).Mix all spices well into potato. Make medium sized balls from the potato mixture.Make about 10-15 equal small sized balls from the dough.Roll out into 3-4 inches diameter roti base with a rolling pin, place the potato ball in center of roti. This rolled out roti dough should be thinner, like the thickness of regular chapati.Bring together all the edges in the center and join them. Cover whole potato roll with roti, remove the excess dough if necessary. Try to avoid thick covering around the stuffing.Similarly, prepare 10-15 dumplings till all the filling is used up and cover with a plate.For Lentil CurryTo make lentil curry, clean, wash and drain the lentils. Combine the lentil, about 2 cups of water, & turmeric powder in a pressure cooker and cook for 3 whistles.Combine the cooked dal and a cup of hot water in a tall mixing bowl and blend it well using a hand blender till smooth. Add enough water and mix very well.Place the mixture in a shallow frying pan on the flame and add turmeric powder, peanuts boiled, salt to taste, tomato, green chilli, ginger, lemon juice, & jaggery.Mix well and cook on a medium flame for 10 to 15 minutes, while stirring occasionally.Now add prepared dumplings gently into dal, and cook them for another 15 minutes, once dumplings are starting to come at top of dal, it is almost cooked.Meanwhile, for the tempering, heat the oil in a small non-stick pan, add mustard seeds and cumin seeds, allow them to crackle.When the seeds crackle, add the asafoetida, curry leaves, red chillies, cinnamon, cloves, bay Leaf and sauté on medium till aromatic.Add this tempering to the dal, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally.After adding tempering cook for 5 minutes and now it is ready to serve.Serve Potato Stuffed Dal Dhokli Recipe along with Masala Khichia Recipe (Spicy Corn Flour Papad) for a meal in itself.",North Indian Recipes,Lunch,Vegetarian,Gujarati,1,100,4,https://www.archanaskitchen.com/potato-stuffed-dal-dhokli-recipe
Fansi Muthia Nu Shaak Recipe - Green Beans With Gram Flour Dumplings,"400 grams Green beans (French Beans) - cut into 1 inch pieces,1/2 teaspoon Mustard seeds,1 teaspoon Ajwain (Carom seeds),1/4 teaspoon SSP Asafoetida (Hing),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Amchur (Dry Mango Powder),1 teaspoon Jaggery,Salt - to taste,1 teaspoon Sunflower Oil,1/2 cup Gram flour (besan),2 tablespoons Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Sugar,1/4 teaspoon SSP Asafoetida (Hing),1/2 teaspoon Enos fruit salt,1 tablespoon Lemon juice,1 tablespoon Sunflower Oil,Salt - to taste","To begin making the Fansi Muthia Nu Shaak Recipe, add the green beans into a pressure cooker, with 1/4 cup of water, salt to taste and pressure cook for 2 whistles. Turn off the heat and release the pressure immediately to retain the bright green color of the beans. Open the pressure cooker and keep aside.*To make the Muthia:In a small bowl combine the ingredients for the muthia - Gram flour, kasuri methi, turmeric powder, sugar, asafoetida, enos fruit salt, lemon juice, cooking oil and salt. Combine to make a firm dough by adding little water. Divide the dough into equal small portions. Shape them in ovals and lightly press them down. Preheat a paniyaram pan and add little oil into each cavity. Place the muthia in each cavity and pan fry until golden and crisp on all sides. Once done remove and keep aside.*The next step is to make the Fansi Muthia Nu Shaak:Heat a teaspoon of oil in a heavy bottomed pan over medium heat; add the ajwain seeds, mustard seeds and allow them to crackle.After the seeds crackle, add asafoetida and the cooked green beans.After a minute, add the coriander powder, red chilli powder, amchur powder, turmeric powder, jaggery, muthia and saute until well combine. Cover and allow it to steam cook for two minutes and turn off the heat. Transfer Fansi Muthia Nu Shaak into a serving bowl and serve.Serve the Fansi Muthia Nu Shaak Recipe along with Gujarati Kadhi, Phulka and Steamed Rice to enjoy your everyday simple lunch.",Gujarati Recipes,Main Course,Vegetarian,Gujarati,1,40,4,http://www.archanaskitchen.com/fansi-muthia-nu-shaak-recipe
Palak Paneer Recipe - Palak Paneer Recipe,"250 grams Paneer - Chop, 500 grams Spinach - Wash and chop, 1 Tomato - Puree, 2 cloves Garlic - Tighten, 2 inch Ginger - Tighten, 2 Green Chillies - Cut it straight, 1/2 tsp Cumin seeds, 1 / 4 tsp cinnamon powder, 1 tsp cumin powder, 1/4 tsp turmeric powder, 1 tsp garam masala powder, 2 tbsp cream, 1 tbsp butter, salt - as per taste","To make the spinach paneer recipe, first wash the spinach thoroughly. Cut it after washing and keep it separately. Heat the water in a saucepan. After boiling add spinach and turn off the gas. Allow the spinach to remain in hot water for 2 to 3 minutes. Remove the spinach and let it cool. Now pour it into a mixer grinder and grind it to a puree. Now heat the butter in a pan. Add cumin seeds, ginger, garlic, green chilies and cook for 1 minute. Now add tomato puree, turmeric powder and cook it for 2 to 3 minutes. After 2 to 3 minutes, add powdered spinach, cumin powder, garam masala powder, cinnamon powder, salt, mix and raise for 5 minutes. After 5 minutes, add cream, cottage cheese pieces and let it boil. After boiling, turn off the gas and serve. Serve the Palak Paneer Recipe with Dal Tadka, Bundi Raita, Cumin Rice and Phulka for your dinner.",Punjabi,Dinner,High Protein Vegetarian,Punjabi,1,60,4,https://www.archanaskitchen.com/palak-paneer-recipe-cottage-cheese-in-spinach-gravy-in-hindi
